trip_id,schedule_date,departure_time,route_name,vehicle_id,passenger_count,estimated_arrival_time,staff_id,company_id,working_day,bus_type,classification,seating_capacity,ticket_no,utilization_rate,remarks,summary_id,driver_id,rejection_reason,expiry_reason,route_id
1536,2026-09-11,09:04:00,Batangas,29,15,10:45:00,,4,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-06,1.0,On schedule,SUM-20260911-01,24,,,20
1429,2026-08-25,09:14:00,Los Baños,120,15,11:23:00,,4,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-76,1.0,Smooth travel,SUM-20260825-01,24,,,1
571,2026-04-04,06:00:00,Los Baños,124,15,08:41:00,,2,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-87,1.0,Routine trip,SUM-20260404-01,24,,,1
507,2026-03-25,05:02:00,SM Lipa,55,15,06:08:00,,2,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-93,1.0,Clear weather,SUM-20260325-01,24,,,12
101,2026-01-17,06:27:00,Batangas,103,15,08:50:00,,3,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-58,1.0,Heavy traffic delayed arrival,SUM-20260117-01,24,,,20
1008,2026-06-17,06:00:00,Batangas,55,14,07:40:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-05,0.93,Smooth travel,SUM-20260617-01,24,,,20
967,2026-06-10,09:07:00,Los Baños,124,14,10:11:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-28,0.93,Heavy traffic delayed arrival,SUM-20260610-01,24,,,1
515,2026-03-26,11:17:00,TCP,42,14,13:38:00,,4,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-07,0.93,On schedule,SUM-20260326-01,24,,,6
28,2026-01-05,15:08:00,Batangas,112,14,17:22:00,,2,MONDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-85,0.93,On schedule,SUM-20260105-01,24,,,20
1011,2026-06-17,14:20:00,Los Baños,42,13,16:41:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-05,0.87,On schedule,SUM-20260617-01,24,,,1
874,2026-05-26,10:05:00,Los Baños,119,13,12:23:00,,3,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-17,0.87,Routine trip,SUM-20260526-01,24,,,1
757,2026-05-06,11:00:00,Plaridel,120,13,13:01:00,,3,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-44,0.87,Heavy traffic delayed arrival,SUM-20260506-01,24,,,2
521,2026-03-27,05:20:00,Sto.Tomas,100,12,07:41:00,,2,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-69,0.8,Clear weather,SUM-20260327-01,24,,,18
301,2026-02-19,15:25:00,San Pablo,47,12,16:11:00,,3,THURSDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-20,0.8,Heavy traffic delayed arrival,SUM-20260219-01,24,,,11
212,2026-02-04,13:20:00,Bugtong Payapa,19,12,15:02:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-31,0.8,Smooth travel,SUM-20260204-01,24,,,14
1529,2026-09-10,06:09:00,Tanauan,27,11,07:41:00,,2,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-72,0.73,Clear weather,SUM-20260910-01,24,,,10
1003,2026-06-16,10:03:00,Caloocan,123,11,12:37:00,,2,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-48,0.73,Heavy traffic delayed arrival,SUM-20260616-01,24,,,15
563,2026-04-03,06:03:00,Bugtong Payapa,40,10,08:24:00,,3,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-03,0.67,On schedule,SUM-20260403-01,24,,,14
537,2026-03-30,12:11:00,Rosario,20,10,14:36:00,,2,MONDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-08,0.67,Routine trip,SUM-20260330-01,24,,,4
32,2026-01-06,06:17:00,SM Lipa,126,10,08:02:00,,2,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-04,0.67,Smooth travel,SUM-20260106-01,24,,,12
1579,2026-09-17,10:22:00,Muzon,115,9,11:08:00,,2,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-88,0.6,On schedule,SUM-20260917-01,24,,,8
720,2026-04-29,06:11:00,Robinson,103,9,07:36:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-74,0.6,Routine trip,SUM-20260429-01,24,,,13
519,2026-03-27,11:00:00,Rosario,34,9,13:07:00,,4,FRIDAY,12 Seats - Hyundai Starex,Morning,12,TK-87,0.75,Routine trip,SUM-20260327-01,24,,,4
1166,2026-07-13,10:18:00,Cabuyao,37,8,12:21:00,,3,MONDAY,15 Seats - Nissan Urvan,Morning,15,TK-32,0.53,Clear weather,SUM-20260713-01,24,,,5
1021,2026-06-18,05:02:00,Bugtong Payapa,100,8,07:44:00,,2,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-55,0.53,Smooth travel,SUM-20260618-01,24,,,14
787,2026-05-11,08:11:00,Taguig,121,8,09:19:00,,4,MONDAY,15 Seats - Nissan Urvan,Morning,15,TK-17,0.53,Heavy traffic delayed arrival,SUM-20260511-01,24,,,21
113,2026-01-19,08:19:00,Muzon,101,8,09:23:00,,4,MONDAY,15 Seats - Nissan Urvan,Morning,15,TK-22,0.53,Routine trip,SUM-20260119-01,24,,,8
1436,2026-08-26,07:17:00,Robinson,123,7,08:24:00,,2,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-50,0.47,On schedule,SUM-20260826-01,24,,,13
929,2026-06-04,11:17:00,TCP,41,7,12:57:00,,4,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-83,0.47,Clear weather,SUM-20260604-01,24,,,6
834,2026-05-19,10:30:00,Taguig,19,7,12:55:00,,4,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-89,0.47,Smooth travel,SUM-20260519-01,24,,,21
207,2026-02-03,05:25:00,Plaridel,40,7,06:51:00,,3,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-05,0.47,Heavy traffic delayed arrival,SUM-20260203-01,24,,,2
982,2026-06-12,08:19:00,Bugtong Payapa,117,6,09:33:00,,2,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-68,0.4,Smooth travel,SUM-20260612-01,24,,,14
133,2026-01-22,07:22:00,Robinson,122,6,09:37:00,,4,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-82,0.4,Smooth travel,SUM-20260122-01,24,,,13
1578,2026-09-17,13:29:00,Rosario,22,5,14:00:00,,3,THURSDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-06,0.33,Smooth travel,SUM-20260917-01,24,,,4
1593,2026-09-19,09:25:00,San Pablo,100,3,11:47:00,,2,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-10,0.2,Routine trip,SUM-20260919-01,24,,,11
1450,2026-08-28,10:24:00,Robinson,116,3,11:11:00,,4,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-84,0.2,Heavy traffic delayed arrival,SUM-20260828-01,24,,,13
1432,2026-08-25,10:19:00,Taguig,104,3,12:04:00,,4,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-43,0.2,On schedule,SUM-20260825-01,24,,,21
33,2026-01-06,05:18:00,Sto.Tomas,43,3,06:52:00,,4,TUESDAY,18 Seats - Toyota Hiace Commuter,Morning,18,TK-76,0.17,Clear weather,SUM-20260106-01,24,,,18
1378,2026-08-17,07:00:00,Muzon,32,2,09:17:00,,3,MONDAY,12 Seats - Hyundai Starex,Morning,12,TK-16,0.17,Smooth travel,SUM-20260817-01,24,,,8
315,2026-02-21,08:01:00,Cabuyao,109,2,10:48:00,,4,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-56,0.13,Routine trip,SUM-20260221-01,24,,,5
1041,2026-06-22,07:14:00,TCP,39,17,09:52:00,,4,MONDAY,18 Seats - Toyota Hiace Commuter,Morning,18,TK-19,0.94,Smooth travel,SUM-20260622-01,33,,,6
671,2026-04-21,07:22:00,SM Lipa,46,17,08:04:00,,2,TUESDAY,18 Seats - Toyota Hiace Commuter,Morning,18,TK-44,0.94,Routine trip,SUM-20260421-01,33,,,12
1360,2026-08-13,11:19:00,Los Baños,39,15,12:53:00,,4,THURSDAY,18 Seats - Toyota Hiace Commuter,Morning,18,TK-68,0.83,Clear weather,SUM-20260813-01,33,,,1
1228,2026-07-22,12:28:00,Sto.Tomas,118,15,13:39:00,,3,WEDNESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-51,1.0,Clear weather,SUM-20260722-01,33,,,18
1126,2026-07-06,15:04:00,Plaridel,46,15,16:14:00,,2,MONDAY,18 Seats - Toyota Hiace Commuter,Afternoon,18,TK-21,0.83,Clear weather,SUM-20260706-01,33,,,2
651,2026-04-18,06:12:00,Sto.Tomas,41,15,08:15:00,,4,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-64,1.0,Smooth travel,SUM-20260418-01,33,,,18
1634,2026-09-26,15:22:00,Tanauan,110,14,17:19:00,,4,SATURDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-79,0.93,Smooth travel,SUM-20260926-01,33,,,10
1048,2026-06-23,10:08:00,Taguig,20,14,11:53:00,,3,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-75,0.93,Heavy traffic delayed arrival,SUM-20260623-01,33,,,21
955,2026-06-09,15:00:00,Rosario,22,14,16:05:00,,4,TUESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-24,0.93,On schedule,SUM-20260609-01,33,,,4
331,2026-02-24,13:02:00,SM Lipa,55,14,15:52:00,,4,TUESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-93,0.93,Clear weather,SUM-20260224-01,33,,,12
1320,2026-08-07,13:20:00,Bugtong Payapa,53,13,15:34:00,,4,FRIDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-08,0.87,Clear weather,SUM-20260807-01,33,,,14
1199,2026-07-17,10:30:00,Los Baños,123,13,12:29:00,,3,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-06,0.87,Routine trip,SUM-20260717-01,33,,,1
319,2026-02-21,07:14:00,Taguig,128,13,08:05:00,,3,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-01,0.87,On schedule,SUM-20260221-01,33,,,21
876,2026-05-26,07:02:00,Los Baños,120,12,09:42:00,,2,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-31,0.8,Heavy traffic delayed arrival,SUM-20260526-01,33,,,1
404,2026-03-07,07:28:00,Batangas,104,12,08:55:00,,2,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-76,0.8,Routine trip,SUM-20260307-01,33,,,20
1623,2026-09-25,07:02:00,Muzon,37,10,08:22:00,,4,FRIDAY,15 Seats - Nissan Urvan,Morning,15,TK-81,0.67,Clear weather,SUM-20260925-01,33,,,8
714,2026-04-29,10:30:00,Bugtong Payapa,121,10,12:37:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-68,0.67,Heavy traffic delayed arrival,SUM-20260429-01,33,,,14
1527,2026-09-10,12:13:00,Bugtong Payapa,48,9,14:51:00,,2,THURSDAY,12 Seats - Hyundai Starex,Afternoon,12,TK-78,0.75,Heavy traffic delayed arrival,SUM-20260910-01,33,,,14
1163,2026-07-11,05:15:00,Robinson,129,9,07:27:00,,2,SATURDAY,15 Seats - Nissan Urvan,Morning,15,TK-70,0.6,Clear weather,SUM-20260711-01,33,,,13
756,2026-05-06,05:19:00,SM Lipa,113,9,06:40:00,,2,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-50,0.6,On schedule,SUM-20260506-01,33,,,12
1526,2026-09-10,13:27:00,Rosario,125,7,14:21:00,,3,THURSDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-59,0.47,On schedule,SUM-20260910-01,33,,,4
